VMName,BusinessUnit,SubUnit,CostCentre,Project,vCPU,vRAM,vDisk,vCPUHours,GBMemHours,GBStorHours,DR,StorageTier,ChargevCPU,ChargevRAM,ChargevDisk,Moref,ResourceSubtotal,Backup,BackupCost,Total,BillingPeriod
SYDNWINFP150,S&L,PRD,623000.0,,2.0,4.0,120.0,1392.0,2784.0,64032,109.56,,42.6,93.2,9.2,vm-3745,145.0,no,0.0,254.56,Feb-2024
sydnwinfddc2,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,6.0,22.0,Feb-2024
SYDNWINFD45,S&L,DEV,62920000.0,,2.0,4.0,60.0,1392.0,2784.0,32016,,,42.6,93.2,4.6,vm-33603,140.4,no,0.0,140.4,Feb-2024
SYDNWWEBS05,S&L,QA,623000.0,,2.0,4.0,60.0,948.0,1896.0,30624,,,29.012069,63.472414,4.4,vm-33659,96.884483,no,0.0,96.884483,Feb-2024
sydnwwebp110,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,9.45,25.45,Feb-2024
SYDNWINFP201 (ca6b698a-2d82-477e-b571-e81abe5b7b45),GRPINFR,DEV,609100.0,,2.0,8.0,80.0,1392.0,5568.0,11832,,,42.6,186.4,1.7,vm-177,230.7,no,0.0,230.7,Feb-2024
SYDNWDBAD16,S&L,,62920000.0,PACE,10.0,56.0,3640.0,4310.0,24136.0,2365704,,,131.900862,808.001149,539.55,vm-33678,1479.452011,no,0.0,1479.452011,Feb-2024
SYDNWCOMP35,Oils,PRD,241900.0,Epicor v10 App Server,4.0,16.0,100.0,2784.0,11136.0,69600,,,85.2,372.8,10.0,vm-33604,468.0,no,0.0,468.0,Feb-2024
TemplateWindows2012R2StandardUpdated,GCRP,,,,2.0,4.0,60.0,0.0,0.0,11136,,,0.0,0.0,1.6,vm-33703,1.6,no,0.0,1.6,Feb-2024
sydnwinfp2,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,12.0,28.0,Feb-2024
sydnwinfp151,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,7.5,23.5,Feb-2024
BMx_test2,S&L,DEV,623000.0,<blank>,1.0,0.781,70.0,0.0,0.0,16704,,,0.0,0.0,2.4,vm-33487,2.4,no,0.0,2.4,Feb-2024
